Points_0,Points_1,Points_2,displacement_0,displacement_1
-0.0726,0,0,0.000982266,-0.000162491
-0.0724,0,0,0.000985658,-0.000162208
-0.0722,0,0,0.000989051,-0.000161925
-0.072,0,0,0.000992443,-0.000161642
-0.0718,0,0,0.000995836,-0.00016136
-0.0716,0,0,0.000999228,-0.000161077
-0.0714,0,0,0.00100262,-0.000160794
-0.0712,0,0,0.00100601,-0.000160511
-0.071,0,0,0.00100941,-0.000160228
-0.0708,0,0,0.0010128,-0.000159945
-0.0706,0,0,0.00101619,-0.000159662
-0.0704,0,0,0.00101958,-0.000159379
-0.0702,0,0,0.00102298,-0.000159097
-0.07,0,0,0.00102637,-0.000158814
-0.0698,0,0,0.0010293,-0.000158476
-0.0696,0,0,0.00103223,-0.000158138
-0.0694,0,0,0.00103516,-0.0001578
-0.0692,0,0,0.00103809,-0.000157462
-0.069,0,0,0.00104103,-0.000157125
-0.0688,0,0,0.00104396,-0.000156787
-0.0686,0,0,0.00104689,-0.000156449
-0.0684,0,0,0.00104982,-0.000156111
-0.0682,0,0,0.00105275,-0.000155773
-0.068,0,0,0.00105568,-0.000155435
-0.0678,0,0,0.00105862,-0.000155097
-0.0676,0,0,0.00106155,-0.00015476
-0.0674,0,0,0.00106448,-0.000154422
-0.0672,0,0,0.00106741,-0.000154084
-0.067,0,0,0.00107034,-0.000153746
-0.0668,0,0,0.00107327,-0.000153408
-0.0666,0,0,0.00107621,-0.00015307
-0.0664,0,0,0.00107914,-0.000152732
-0.0662,0,0,0.00108207,-0.000152395
-0.066,0,0,0.001085,-0.000152057
-0.0658,0,0,0.00108793,-0.000151719
-0.0656,0,0,0.00109086,-0.000151381
-0.0654,0,0,0.00109379,-0.000151043
-0.0652,0,0,0.00109673,-0.000150705
-0.065,0,0,0.00109966,-0.000150368
-0.0648,0,0,0.00110221,-0.000149991
-0.0646,0,0,0.00110477,-0.000149614
-0.0644,0,0,0.00110732,-0.000149237
-0.0642,0,0,0.00110988,-0.00014886
-0.064,0,0,0.00111243,-0.000148483
-0.0638,0,0,0.00111499,-0.000148106
-0.0636,0,0,0.00111754,-0.000147729
-0.0634,0,0,0.0011201,-0.000147352
-0.0632,0,0,0.00112266,-0.000146975
-0.063,0,0,0.00112521,-0.000146598
-0.0628,0,0,0.00112777,-0.000146221
-0.0626,0,0,0.00113032,-0.000145844
-0.0624,0,0,0.00113288,-0.000145467
-0.0622,0,0,0.00113543,-0.00014509
-0.062,0,0,0.00113799,-0.000144713
-0.0618,0,0,0.00114054,-0.000144336
-0.0616,0,0,0.0011431,-0.000143959
-0.0614,0,0,0.00114565,-0.000143582
-0.0612,0,0,0.00114821,-0.000143205
-0.061,0,0,0.00115076,-0.000142828
-0.0608,0,0,0.00115332,-0.000142451
-0.0606,0,0,0.00115587,-0.000142074
-0.0604,0,0,0.00115843,-0.000141697
-0.0602,0,0,0.00116099,-0.00014132
-0.06,0,0,0.00116354,-0.000140943
-0.0598,0,0,0.00116578,-0.000140537
-0.0596,0,0,0.00116801,-0.000140131
-0.0594,0,0,0.00117025,-0.000139725
-0.0592,0,0,0.00117249,-0.000139319
-0.059,0,0,0.00117472,-0.000138913
-0.0588,0,0,0.00117696,-0.000138507
-0.0586,0,0,0.0011792,-0.000138101
-0.0584,0,0,0.00118143,-0.000137695
-0.0582,0,0,0.00118367,-0.000137289
-0.058,0,0,0.00118591,-0.000136883
-0.0578,0,0,0.00118814,-0.000136477
-0.0576,0,0,0.00119038,-0.000136071
-0.0574,0,0,0.00119262,-0.000135665
-0.0572,0,0,0.00119485,-0.000135259
-0.057,0,0,0.00119709,-0.000134853
-0.0568,0,0,0.00119932,-0.000134447
-0.0566,0,0,0.00120156,-0.000134041
-0.0564,0,0,0.0012038,-0.000133635
-0.0562,0,0,0.00120603,-0.000133229
-0.056,0,0,0.00120827,-0.000132823
-0.0558,0,0,0.00121051,-0.000132417
-0.0556,0,0,0.00121274,-0.000132011
-0.0554,0,0,0.00121498,-0.000131605
-0.0552,0,0,0.00121722,-0.000131199
-0.055,0,0,0.00121945,-0.000130794
-0.0548,0,0,0.00122141,-0.000130366
-0.0546,0,0,0.00122337,-0.000129938
-0.0544,0,0,0.00122533,-0.00012951
-0.0542,0,0,0.00122729,-0.000129082
-0.054,0,0,0.00122925,-0.000128654
-0.0538,0,0,0.0012312,-0.000128226
-0.0536,0,0,0.00123316,-0.000127798
-0.0534,0,0,0.00123512,-0.00012737
-0.0532,0,0,0.00123708,-0.000126942
-0.053,0,0,0.00123904,-0.000126514
-0.0528,0,0,0.001241,-0.000126086
-0.0526,0,0,0.00124296,-0.000125658
-0.0524,0,0,0.00124491,-0.00012523
-0.0522,0,0,0.00124687,-0.000124802
-0.052,0,0,0.00124883,-0.000124374
-0.0518,0,0,0.00125079,-0.000123947
-0.0516,0,0,0.00125275,-0.000123519
-0.0514,0,0,0.00125471,-0.000123091
-0.0512,0,0,0.00125667,-0.000122663
-0.051,0,0,0.00125863,-0.000122235
-0.0508,0,0,0.00126058,-0.000121807
-0.0506,0,0,0.00126254,-0.000121379
-0.0504,0,0,0.0012645,-0.000120951
-0.0502,0,0,0.00126646,-0.000120523
-0.05,0,0,0.00126842,-0.000120095
-0.0498,0,0,0.00127013,-0.00011965
-0.0496,0,0,0.00127184,-0.000119205
-0.0494,0,0,0.00127355,-0.00011876
-0.0492,0,0,0.00127526,-0.000118315
-0.049,0,0,0.00127697,-0.00011787
-0.0488,0,0,0.00127868,-0.000117426
-0.0486,0,0,0.00128039,-0.000116981
-0.0484,0,0,0.00128211,-0.000116536
-0.0482,0,0,0.00128382,-0.000116091
-0.048,0,0,0.00128553,-0.000115646
-0.0478,0,0,0.00128724,-0.000115201
-0.0476,0,0,0.00128895,-0.000114756
-0.0474,0,0,0.00129066,-0.000114311
-0.0472,0,0,0.00129237,-0.000113866
-0.047,0,0,0.00129408,-0.000113421
-0.0468,0,0,0.00129579,-0.000112976
-0.0466,0,0,0.0012975,-0.000112531
-0.0464,0,0,0.00129921,-0.000112086
-0.0462,0,0,0.00130093,-0.000111642
-0.046,0,0,0.00130264,-0.000111197
-0.0458,0,0,0.00130435,-0.000110752
-0.0456,0,0,0.00130606,-0.000110307
-0.0454,0,0,0.00130777,-0.000109862
-0.0452,0,0,0.00130948,-0.000109417
-0.045,0,0,0.00131119,-0.000108972
-0.0448,0,0,0.00131268,-0.000108514
-0.0446,0,0,0.00131416,-0.000108056
-0.0444,0,0,0.00131565,-0.000107597
-0.0442,0,0,0.00131714,-0.000107139
-0.044,0,0,0.00131862,-0.000106681
-0.0438,0,0,0.00132011,-0.000106223
-0.0436,0,0,0.00132159,-0.000105764
-0.0434,0,0,0.00132308,-0.000105306
-0.0432,0,0,0.00132457,-0.000104848
-0.043,0,0,0.00132605,-0.00010439
-0.0428,0,0,0.00132754,-0.000103932
-0.0426,0,0,0.00132902,-0.000103473
-0.0424,0,0,0.00133051,-0.000103015
-0.0422,0,0,0.001332,-0.000102557
-0.042,0,0,0.00133348,-0.000102099
-0.0418,0,0,0.00133497,-0.000101641
-0.0416,0,0,0.00133645,-0.000101182
-0.0414,0,0,0.00133794,-0.000100724
-0.0412,0,0,0.00133943,-0.000100266
-0.041,0,0,0.00134091,-9.98077e-05
-0.0408,0,0,0.0013424,-9.93495e-05
-0.0406,0,0,0.00134389,-9.88912e-05
-0.0404,0,0,0.00134537,-9.8433e-05
-0.0402,0,0,0.00134686,-9.79748e-05
-0.04,0,0,0.00134834,-9.75166e-05
-0.0398,0,0,0.00134962,-9.70479e-05
-0.0396,0,0,0.0013509,-9.65792e-05
-0.0394,0,0,0.00135218,-9.61105e-05
-0.0392,0,0,0.00135346,-9.56419e-05
-0.039,0,0,0.00135474,-9.51732e-05
-0.0388,0,0,0.00135602,-9.47045e-05
-0.0386,0,0,0.0013573,-9.42358e-05
-0.0384,0,0,0.00135858,-9.37671e-05
-0.0382,0,0,0.00135985,-9.32984e-05
-0.038,0,0,0.00136113,-9.28297e-05
-0.0378,0,0,0.00136241,-9.2361e-05
-0.0376,0,0,0.00136369,-9.18924e-05
-0.0374,0,0,0.00136497,-9.14237e-05
-0.0372,0,0,0.00136625,-9.0955e-05
-0.037,0,0,0.00136753,-9.04863e-05
-0.0368,0,0,0.00136881,-9.00176e-05
-0.0366,0,0,0.00137009,-8.95489e-05
-0.0364,0,0,0.00137137,-8.90802e-05
-0.0362,0,0,0.00137264,-8.86116e-05
-0.036,0,0,0.00137392,-8.81429e-05
-0.0358,0,0,0.0013752,-8.76742e-05
-0.0356,0,0,0.00137648,-8.72055e-05
-0.0354,0,0,0.00137776,-8.67368e-05
-0.0352,0,0,0.00137904,-8.62681e-05
-0.035,0,0,0.00138032,-8.57994e-05
-0.0348,0,0,0.0013814,-8.53225e-05
-0.0346,0,0,0.00138249,-8.48455e-05
-0.0344,0,0,0.00138358,-8.43686e-05
-0.0342,0,0,0.00138466,-8.38916e-05
-0.034,0,0,0.00138575,-8.34147e-05
-0.0338,0,0,0.00138683,-8.29377e-05
-0.0336,0,0,0.00138792,-8.24608e-05
-0.0334,0,0,0.001389,-8.19838e-05
-0.0332,0,0,0.00139009,-8.15069e-05
-0.033,0,0,0.00139117,-8.10299e-05
-0.0328,0,0,0.00139226,-8.0553e-05
-0.0326,0,0,0.00139335,-8.0076e-05
-0.0324,0,0,0.00139443,-7.95991e-05
-0.0322,0,0,0.00139552,-7.91221e-05
-0.032,0,0,0.0013966,-7.86452e-05
-0.0318,0,0,0.00139769,-7.81682e-05
-0.0316,0,0,0.00139877,-7.76913e-05
