displacement:0,displacement:1,Points:0,Points:1,Points:2
0.00671721,0.00846461,-0.4,0.245,0
0.00685512,0.00846188,-0.4,0.25,0
0.00699313,0.00845914,-0.4,0.255,0
0.00713121,0.00845635,-0.4,0.26,0
0.00726937,0.00845355,-0.4,0.265,0
0.00740762,0.00845071,-0.4,0.27,0
0.00754596,0.00844784,-0.4,0.275,0
0.0076844,0.00844495,-0.4,0.28,0
0.00782294,0.00844202,-0.4,0.285,0
0.00796156,0.00843907,-0.4,0.29,0
0.00810028,0.0084361,-0.4,0.295,0
0.00823911,0.00843309,-0.4,0.3,0
0.00837805,0.00843006,-0.4,0.305,0
0.0085171,0.008427,-0.4,0.31,0
0.00865625,0.00842392,-0.4,0.315,0
0.00879552,0.0084208,-0.4,0.32,0
0.00893489,0.00841767,-0.4,0.325,0
0.00907439,0.00841451,-0.4,0.33,0
0.00921401,0.00841131,-0.4,0.335,0
0.00935373,0.00840809,-0.4,0.34,0
0.00949359,0.00840486,-0.4,0.345,0
0.00963358,0.00840159,-0.4,0.35,0
0.00977368,0.0083983,-0.4,0.355,0
0.00991393,0.00839499,-0.4,0.36,0
0.0100543,0.00839164,-0.4,0.365,0
0.0101948,0.00838828,-0.4,0.37,0
0.0103354,0.00838488,-0.4,0.375,0
0.0104762,0.00838147,-0.4,0.38,0
0.0106171,0.00837803,-0.4,0.385,0
0.0107581,0.00837457,-0.4,0.39,0
0.0108993,0.00837107,-0.4,0.395,0
0.0110462,0.00827313,-0.395,0.4,0
0.0110517,0.00817871,-0.39,0.4,0
0.011057,0.00808425,-0.385,0.4,0
0.0110623,0.0079898,-0.38,0.4,0
0.0110676,0.00789533,-0.375,0.4,0
0.0110727,0.00780088,-0.37,0.4,0
0.0110778,0.00770641,-0.365,0.4,0
0.0110828,0.00761195,-0.36,0.4,0
0.0110877,0.00751747,-0.355,0.4,0
0.0110925,0.00742301,-0.35,0.4,0
0.0110972,0.00732852,-0.345,0.4,0
0.0111019,0.00723406,-0.34,0.4,0
0.0111064,0.00713957,-0.335,0.4,0
0.0111109,0.00704511,-0.33,0.4,0
0.0111154,0.00695062,-0.325,0.4,0
0.0111197,0.00685616,-0.32,0.4,0
0.0111239,0.00676169,-0.315,0.4,0
0.0111281,0.00666724,-0.31,0.4,0
0.0111322,0.00657277,-0.305,0.4,0
