Points_0,Points_1,Points_2,displacement_0,displacement_1
-0.07788,0,0,0.0407827,0.110832
-0.07766,0,0,0.0406677,0.11134
-0.07744,0,0,0.0405526,0.111848
-0.07722,0,0,0.0404375,0.112357
-0.077,0,0,0.0403225,0.112865
-0.07678,0,0,0.0402074,0.113373
-0.07656,0,0,0.0400923,0.113882
-0.07634,0,0,0.0399772,0.11439
-0.07612,0,0,0.0398622,0.114898
-0.0759,0,0,0.0397471,0.115407
-0.07568,0,0,0.039632,0.115915
-0.07546,0,0,0.039517,0.116424
-0.07524,0,0,0.0394019,0.116932
-0.07502,0,0,0.0392868,0.11744
-0.0748,0,0,0.0391718,0.117881
-0.07458,0,0,0.0390567,0.118315
-0.07436,0,0,0.0389416,0.118748
-0.07414,0,0,0.0388266,0.119182
-0.07392,0,0,0.0387115,0.119616
-0.0737,0,0,0.0385964,0.12005
-0.07348,0,0,0.0384813,0.120484
-0.07326,0,0,0.0383663,0.120918
-0.07304,0,0,0.0382512,0.121351
-0.07282,0,0,0.0381361,0.121785
-0.0726,0,0,0.0380211,0.122219
-0.07238,0,0,0.037906,0.122653
-0.07216,0,0,0.0377909,0.123087
-0.07194,0,0,0.0376759,0.12352
-0.07172,0,0,0.0375608,0.123954
-0.0715,0,0,0.0374457,0.124388
-0.07128,0,0,0.0373306,0.124822
-0.07106,0,0,0.0372156,0.125256
-0.07084,0,0,0.0371005,0.125689
-0.07062,0,0,0.0369854,0.126123
-0.0704,0,0,0.0368704,0.126557
-0.07018,0,0,0.0367553,0.126991
-0.06996,0,0,0.0366402,0.127414
-0.06974,0,0,0.0365251,0.12779
-0.06952,0,0,0.03641,0.128166
-0.0693,0,0,0.0362949,0.128541
-0.06908,0,0,0.0361798,0.128917
-0.06886,0,0,0.0360647,0.129293
-0.06864,0,0,0.0359496,0.129669
-0.06842,0,0,0.0358345,0.130045
-0.0682,0,0,0.0357194,0.13042
-0.06798,0,0,0.0356043,0.130796
-0.06776,0,0,0.0354892,0.131172
-0.06754,0,0,0.0353741,0.131548
-0.06732,0,0,0.035259,0.131923
-0.0671,0,0,0.0351439,0.132299
-0.06688,0,0,0.0350288,0.132675
-0.06666,0,0,0.0349137,0.133051
-0.06644,0,0,0.0347986,0.133427
-0.06622,0,0,0.0346835,0.133802
-0.066,0,0,0.0345684,0.134178
-0.06578,0,0,0.0344533,0.134554
-0.06556,0,0,0.0343382,0.13493
-0.06534,0,0,0.0342231,0.135305
-0.06512,0,0,0.034108,0.135681
-0.0649,0,0,0.0339929,0.136035
-0.06468,0,0,0.0338778,0.136363
-0.06446,0,0,0.0337627,0.136691
-0.06424,0,0,0.0336476,0.137019
-0.06402,0,0,0.0335324,0.137347
-0.0638,0,0,0.0334173,0.137675
-0.06358,0,0,0.0333022,0.138003
-0.06336,0,0,0.0331871,0.138332
-0.06314,0,0,0.033072,0.13866
-0.06292,0,0,0.0329569,0.138988
-0.0627,0,0,0.0328418,0.139316
-0.06248,0,0,0.0327267,0.139644
-0.06226,0,0,0.0326116,0.139972
